sn,host,zcmb,s2_x1,s2_x1.err,s2_hr,s2_hr.err,yeps_birth_feh,yeps_birth_feh_low,yeps_birth_feh_high,yeps_birth_afe,yeps_birth_afe_low,yeps_birth_afe_high,yeps_birth_z,yeps_birth_z_low,yeps_birth_z_high,scal19_ni_mass,scal19_ni_mass.err
SN2006ot,ESO544-G031,0.0531,0.641,0.086,-0.037,0.088,0.1883799999999999,0.192828,0.1878319999999999,0.1133799999999999,0.061828,0.063832,1.8636044551250304,0.8519304989394751,0.8325252833668368,0.7461760000000001,0.0285328662598064
SN2007ap,MCG+03-41-003,0.015818,-1.688,0.069,0.324,0.115,0.41822,0.0803889999999999,0.0745349999999999,0.12622,0.0283889999999999,0.0285349999999999,3.23204247819524,0.6195432620844372,0.5775716839035036,0.429432,0.0405668909333707
SN2007ci,NGC3873,0.018126,-2.827,0.099,-0.105,0.106,0.0776199999999999,0.061266,0.059362,0.17062,0.0302659999999999,0.028362,1.5884672307973278,0.2391306967414927,0.2308316669684228,0.274528,0.0599613681048056
SN2007hj,NGC7461,0.014113,-2.137,0.063,0.157,0.106,-0.0571,0.062497,0.059084,0.1649,0.037497,0.035084,1.1537791857694564,0.1819620494660519,0.1717396186619195,0.368368,0.0474448546525331
SN2007nq,UGC00595,0.045031,-1.917,0.051,-0.153,0.092,0.12308,0.170796,0.178502,0.14308,0.063796,0.060502,1.6847165413705336,0.6889110456850001,0.7155581565710075,0.398288,0.0436319037517273
SN2008C,UGC03611,0.016621,-0.719,0.046,-0.221,0.147,0.27802,0.020099,0.0100989999999999,0.42002,0.012099,0.0140989999999999,3.8167565538169232,0.1947139428510755,0.1280104122662642,0.561216,0.0274729040510827
SN2008L,NGC1259,0.0194,-1.592,0.1,-0.097,0.125,0.0895,0.08984,0.0949889999999999,0.2635,0.03184,0.0319889999999999,1.905506787117322,0.40945965817426,0.4315998292591579,0.442488,0.0403596519311056
SN2008R,NGC1200,0.013503,-2.17,0.048,0.08,0.185,0.3399999999999999,0.0665699999999999,0.05412,0.148,0.0305699999999999,0.02812,2.79900709932373,0.454021777641504,0.3743234368128094,0.36388,0.0476605464089533
SN2008af,UGC09640,0.033507,-1.425,0.13,-0.061,0.133,0.39232,0.082764,0.0929519999999999,0.13332,0.0337639999999999,0.0309519999999999,3.081132393763306,0.6144922244796166,0.6806397898738175,0.4652,0.0396817089475743
SN2008gl,UGC00881,0.034017,-1.408,0.098,-0.017,0.109,0.32888,0.1251199999999999,0.1059219999999999,0.2308799999999999,0.03512,0.036922,3.131888124167149,0.9255618918663732,0.7921043776678791,0.467512,0.0377134603026558
SN2008hv,NGC2765,0.012549,-1.22,0.03,0.011,0.177,0.1096,0.051059,0.049883,-0.0004,0.027059,0.024883,1.286206796124639,0.1621945233073247,0.1572726953774947,0.49308,0.0329083393686159
SN2010Y,NGC3392,0.01086,-2.503,0.084,0.487,0.122,0.05702,0.0847889999999999,0.09347,0.26502,0.032789,0.03147,1.7726763882143703,0.3616662782487465,0.395099919049994,0.318592,0.0540479049085161
